Pos,Class,No.,Team,Drivers,Chassis,Tyre,Laps,Time/Reason,Distance
1,Hypercar,51,Ferrari AF Corse,"James Calado, Antonio Giovinazzi, Alessandro Pier Guidi",Ferrari 499P,Michelin,342,24:00:18.099‚Ä°,4660.092
2,Hypercar,8,Toyota Gazoo Racing,"Sébastien Buemi, Brendon Hartley, Ry_ Hirakawa",Toyota GR010 Hybrid,Michelin,342,+1:21.793,4654.828738
3,Hypercar,2,Cadillac Racing,"Earl Bamber, Alex Lynn, Richard Westbrook",Cadillac V-Series.R,Michelin,341,+1 lap,4646.466
4,Hypercar,3,Cadillac Racing,"Sébastien Bourdais, Scott Dixon, Renger van der Zande",Cadillac V-Series.R,Michelin,340,+2 laps,4632.84
5,Hypercar,50,Ferrari AF Corse,"Antonio Fuoco, Miguel Molina, Nicklas Nielsen",Ferrari 499P,Michelin,337,+5 laps,4591.962
6,Hypercar,708,Glickenhaus Racing,"Ryan Briscoe, Romain Dumas, Olivier Pla",Glickenhaus SCG 007 LMH,Michelin,335,+7 laps,4564.71
7,Hypercar,709,Glickenhaus Racing,"Nathanaël Berthon, Esteban Gutiérrez, Franck Mailleux",Glickenhaus SCG 007 LMH,Michelin,333,+9 laps,4537.458
8,Hypercar,93,Peugeot TotalEnergies,"Paul di Resta, Mikkel Jensen, Jean-Éric Vergne",Peugeot 9X8,Michelin,330,+12 laps,4496.58
9,LMP2,34,Inter Europol Competition,"Albert Costa, Fabio Scherer, Jakub _miechowski",Oreca 07,Goodyear,328,+14 laps,4469.328
10,LMP2,41,Team WRT,"Rui Andrade, Louis Delétraz Robert Kubica",Oreca 07,Goodyear,328,+14 laps,4469.328
11,LMP2,30,Duqueine Team,"René Binder, Neel Jani, Nico Pino",Oreca 07,Goodyear,327,+15 laps,4455.702
12,LMP2,36,Alpine Elf Team,"Julien Canal, Charles Milesi, Matthieu Vaxivière",Oreca 07,Goodyear,327,+15 laps,4455.702
13,LMP2,31,Team WRT,"Robin Frijns, Sean Gelael, Ferdinand Habsburg",Oreca 07,Goodyear,327,+15 laps,4455.702
14,LMP2,48,IDEC Sport,"Paul-Loup Chatin, Laurents Hörr, Paul Lafargue",Oreca 07,Goodyear,327,+15 laps,4455.702
15,LMP2,10,Vector Sport,"Gabriel Aubry, Ryan Cullen, Matthias Kaiser",Oreca 07,Goodyear,325,+17 laps,4428.45
16,Hypercar,5,Porsche Penske Motorsport,"Dane Cameron, Michael Christensen, Frédéric Makowiecki",Porsche 963,Michelin,325,+17 laps,4428.45
17,Hypercar,311,Action Express Racing,"Jack Aitken, Pipo Derani, Alexander Sims",Cadillac V-Series.R,Michelin,324,+18 laps,4414.824
18,LMP2,23,United Autosports,"Tom Blomqvist, Oliver Jarvis, Josh Pierson",Oreca 07,Goodyear,323,+19 laps,4401.198
19,LMP2,35,Alpine Elf Team,"Olli Caldwell, André Negrão, Memo Rojas",Oreca 07,Goodyear,322,+20 laps,4387.572
20,LMP2,45,Algarve Pro Racing,"James Allen, Colin Braun, George Kurtz",Oreca 07,Goodyear,322,+20 laps,4387.572
21,LMP2,22,United Autosports,"Filipe Albuquerque, Philip Hanson, Frederick Lubin",Oreca 07,Goodyear,321,+21 laps,4373.946
22,Hypercar,6,Porsche Penske Motorsport,"Kévin Estre, André Lotterer, Laurens Vanthoor",Porsche 963,Michelin,320,+22 laps,4360.32
23,LMP2,37,COOL Racing,"Alexandre Coigny, Malthe Jakobsen, Nicolas Lapierre",Oreca 07,Goodyear,317,+25 laps,4319.442
24,LMP2,28,Jota,"Pietro Fittipaldi, David Heinemeier Hansson, Oliver Rasmussen",Oreca 07,Goodyear,316,+26 laps,4305.816
25,LMP2,65,Panis Racing,"Tijmen van der Helm, Manuel Maldonado, Job van Uitert",Oreca 07,Goodyear,316,+26 laps,4305.816
26,LMGTE Am,33,Corvette Racing,"Nicky Catsburg, Ben Keating, Nicolás Varrone",Chevrolet Corvette C8.R,Michelin,313,+29 laps,4264.938
27,Hypercar,94,Peugeot TotalEnergies,"Loïc Duval, Gustavo Menezes, Nico Müller",Peugeot 9X8,Michelin,312,+30 laps,4251.312
28,LMGTE Am,25,ORT by TF,"Ahmad Al Harthy, Michael Dinan, Charlie Eastwood",Aston Martin Vantage AMR,Michelin,312,+30 laps,4251.312
29,LMGTE Am,86,GR Racing,"Ben Barker, Riccardo Pera, Michael Wainwright",Porsche 911 RSR-19,Michelin,312,+30 laps,4251.312
30,LMGTE Am,85,Iron Dames,"Sarah Bovy, Rahel Frey, Michelle Gatting",Porsche 911 RSR-19,Michelin,312,+30 laps,4251.312
